GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos-app,com.increff.posapp.pojo,BrandPojo,26,20,0,0,1,5,2,6,2,6
pos-app,com.increff.posapp.pojo,OrderPojo,44,3,0,0,9,1,6,1,6,1
pos-app,com.increff.posapp.pojo,UserPojo,55,3,0,0,6,1,9,1,9,1
pos-app,com.increff.posapp.pojo,InventoryPojo,34,0,0,0,5,0,6,0,6,0
pos-app,com.increff.posapp.pojo,PosDaySalesPojo,58,0,0,0,7,0,10,0,10,0
pos-app,com.increff.posapp.pojo,ProductPojo,67,3,0,0,7,1,11,1,11,1
pos-app,com.increff.posapp.pojo,OrderItemPojo,67,3,0,0,7,1,11,1,11,1
pos-app,com.increff.posapp.service,ProductService,254,3,28,0,61,1,30,1,16,1
pos-app,com.increff.posapp.service,InventoryService,145,3,12,0,37,1,16,1,10,1
pos-app,com.increff.posapp.service,UserService,49,3,2,0,13,1,6,1,5,1
pos-app,com.increff.posapp.service,OrderItemService,247,3,26,0,60,1,31,1,18,1
pos-app,com.increff.posapp.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos-app,com.increff.posapp.service,BrandService,178,89,12,10,45,22,21,9,15,4
pos-app,com.increff.posapp.service,SchedulerService,19,3,0,0,5,1,4,1,4,1
pos-app,com.increff.posapp.service,OrderService,157,3,12,0,40,1,22,1,16,1
pos-app,com.increff.posapp.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
pos-app,com.increff.posapp.dao,SchedulerDao,124,3,0,0,27,1,8,1,8,1
pos-app,com.increff.posapp.dao,InventoryInMemDao,32,9,0,0,9,3,5,2,5,2
pos-app,com.increff.posapp.dao,ProductDao,243,3,0,0,51,1,14,1,14,1
pos-app,com.increff.posapp.dao,OrderInMemDao,58,9,0,0,12,3,5,2,5,2
pos-app,com.increff.posapp.dao,UserDao,58,3,0,0,14,1,6,1,6,1
pos-app,com.increff.posapp.dao,OrderItemDao,229,3,0,0,47,1,16,1,16,1
pos-app,com.increff.posapp.dao,InventoryDao,145,3,0,0,32,1,10,1,10,1
